x,y,model0,score0,model1,score1,model2,score2
0,0,base,-0.2,base,-0.07,base,0.27
0,1,base,-0.23,_model_00001_0_0.271_77824_.zip,0.23,base,0.0
0,2,base,0.18,_model_00006_0_0.23_2371584_.zip,0.05,base,-0.23
0,3,base,-0.06,_model_00011_0_0.214_3108864_.zip,0.2,base,-0.14
0,4,base,-0.03,_model_00016_0_0.231_3518464_.zip,0.17,base,-0.14
0,5,base,-0.05,_model_00021_0_0.207_4296704_.zip,0.27,base,-0.22
0,6,base,-0.24,_model_00026_0_0.208_6344704_.zip,0.47,base,-0.23
0,7,base,-0.32,_model_00031_0_0.265_7163904_.zip,0.34,base,-0.02
0,8,base,0.08,_model_00036_0_0.209_7983104_.zip,0.05,base,-0.13
0,9,base,-0.16,_model_00041_0_0.22_8433664_.zip,0.38,base,-0.22
0,10,base,-0.12,_model_00046_0_0.224_8802304_.zip,0.11,base,0.01
0,11,base,-0.14,_model_00051_0_0.204_9621504_.zip,0.41,base,-0.27
1,0,_model_00001_0_0.271_77824_.zip,0.39,base,-0.16,base,-0.23
1,1,_model_00001_0_0.271_77824_.zip,-0.05,_model_00001_0_0.271_77824_.zip,-0.12,base,0.17
1,2,_model_00001_0_0.271_77824_.zip,0.07,_model_00006_0_0.23_2371584_.zip,0.05,base,-0.12
1,3,_model_00001_0_0.271_77824_.zip,0.03,_model_00011_0_0.214_3108864_.zip,0.16,base,-0.19
1,4,_model_00001_0_0.271_77824_.zip,0.06,_model_00016_0_0.231_3518464_.zip,0.03,base,-0.09
1,5,_model_00001_0_0.271_77824_.zip,0.28,_model_00021_0_0.207_4296704_.zip,0.14,base,-0.42
1,6,_model_00001_0_0.271_77824_.zip,-0.14,_model_00026_0_0.208_6344704_.zip,0.13,base,0.01
1,7,_model_00001_0_0.271_77824_.zip,-0.01,_model_00031_0_0.265_7163904_.zip,0.09,base,-0.08
1,8,_model_00001_0_0.271_77824_.zip,0.01,_model_00036_0_0.209_7983104_.zip,0.22,base,-0.23
1,9,_model_00001_0_0.271_77824_.zip,0.29,_model_00041_0_0.22_8433664_.zip,-0.02,base,-0.27
1,10,_model_00001_0_0.271_77824_.zip,0.21,_model_00046_0_0.224_8802304_.zip,0.09,base,-0.3
1,11,_model_00001_0_0.271_77824_.zip,-0.05,_model_00051_0_0.204_9621504_.zip,0.03,base,0.02
2,0,_model_00006_0_0.23_2371584_.zip,0.12,base,-0.11,base,-0.01
2,1,_model_00006_0_0.23_2371584_.zip,-0.04,_model_00001_0_0.271_77824_.zip,0.1,base,-0.06
2,2,_model_00006_0_0.23_2371584_.zip,-0.08,_model_00006_0_0.23_2371584_.zip,0.15,base,-0.07
2,3,_model_00006_0_0.23_2371584_.zip,0.2,_model_00011_0_0.214_3108864_.zip,0.22,base,-0.42
2,4,_model_00006_0_0.23_2371584_.zip,-0.08,_model_00016_0_0.231_3518464_.zip,0.12,base,-0.04
2,5,_model_00006_0_0.23_2371584_.zip,-0.2,_model_00021_0_0.207_4296704_.zip,0.19,base,0.01
2,6,_model_00006_0_0.23_2371584_.zip,-0.18,_model_00026_0_0.208_6344704_.zip,0.46,base,-0.28
2,7,_model_00006_0_0.23_2371584_.zip,0.08,_model_00031_0_0.265_7163904_.zip,0.26,base,-0.34
2,8,_model_00006_0_0.23_2371584_.zip,0.09,_model_00036_0_0.209_7983104_.zip,0.17,base,-0.26
2,9,_model_00006_0_0.23_2371584_.zip,-0.03,_model_00041_0_0.22_8433664_.zip,0.33,base,-0.3
2,10,_model_00006_0_0.23_2371584_.zip,-0.07,_model_00046_0_0.224_8802304_.zip,0.39,base,-0.32
2,11,_model_00006_0_0.23_2371584_.zip,0.21,_model_00051_0_0.204_9621504_.zip,0.09,base,-0.3
3,0,_model_00011_0_0.214_3108864_.zip,0.36,base,-0.17,base,-0.19
3,1,_model_00011_0_0.214_3108864_.zip,0.18,_model_00001_0_0.271_77824_.zip,-0.01,base,-0.17
3,2,_model_00011_0_0.214_3108864_.zip,0.07,_model_00006_0_0.23_2371584_.zip,0.12,base,-0.19
3,3,_model_00011_0_0.214_3108864_.zip,0.07,_model_00011_0_0.214_3108864_.zip,0.02,base,-0.09
3,4,_model_00011_0_0.214_3108864_.zip,0.45,_model_00016_0_0.231_3518464_.zip,0.03,base,-0.48
3,5,_model_00011_0_0.214_3108864_.zip,0.12,_model_00021_0_0.207_4296704_.zip,-0.08,base,-0.04
3,6,_model_00011_0_0.214_3108864_.zip,0.06,_model_00026_0_0.208_6344704_.zip,0.33,base,-0.39
3,7,_model_00011_0_0.214_3108864_.zip,-0.1,_model_00031_0_0.265_7163904_.zip,0.2,base,-0.1
3,8,_model_00011_0_0.214_3108864_.zip,0.13,_model_00036_0_0.209_7983104_.zip,0.11,base,-0.24
3,9,_model_00011_0_0.214_3108864_.zip,-0.13,_model_00041_0_0.22_8433664_.zip,0.17,base,-0.04
3,10,_model_00011_0_0.214_3108864_.zip,0.16,_model_00046_0_0.224_8802304_.zip,-0.02,base,-0.14
3,11,_model_00011_0_0.214_3108864_.zip,0.1,_model_00051_0_0.204_9621504_.zip,-0.1,base,0.0
4,0,_model_00016_0_0.231_3518464_.zip,0.28,base,-0.29,base,0.01
4,1,_model_00016_0_0.231_3518464_.zip,0.35,_model_00001_0_0.271_77824_.zip,-0.21,base,-0.14
4,2,_model_00016_0_0.231_3518464_.zip,-0.02,_model_00006_0_0.23_2371584_.zip,0.03,base,-0.01
4,3,_model_00016_0_0.231_3518464_.zip,0.25,_model_00011_0_0.214_3108864_.zip,0.15,base,-0.4
4,4,_model_00016_0_0.231_3518464_.zip,-0.13,_model_00016_0_0.231_3518464_.zip,0.01,base,0.12
4,5,_model_00016_0_0.231_3518464_.zip,0.32,_model_00021_0_0.207_4296704_.zip,0.07,base,-0.39
4,6,_model_00016_0_0.231_3518464_.zip,0.12,_model_00026_0_0.208_6344704_.zip,0.01,base,-0.13
4,7,_model_00016_0_0.231_3518464_.zip,-0.03,_model_00031_0_0.265_7163904_.zip,0.43,base,-0.4
4,8,_model_00016_0_0.231_3518464_.zip,0.0,_model_00036_0_0.209_7983104_.zip,0.2,base,-0.2
4,9,_model_00016_0_0.231_3518464_.zip,-0.1,_model_00041_0_0.22_8433664_.zip,0.24,base,-0.14
4,10,_model_00016_0_0.231_3518464_.zip,0.01,_model_00046_0_0.224_8802304_.zip,0.28,base,-0.29
4,11,_model_00016_0_0.231_3518464_.zip,0.25,_model_00051_0_0.204_9621504_.zip,0.21,base,-0.46
5,0,_model_00021_0_0.207_4296704_.zip,-0.02,base,0.03,base,-0.01
5,1,_model_00021_0_0.207_4296704_.zip,0.3,_model_00001_0_0.271_77824_.zip,0.06,base,-0.36
5,2,_model_00021_0_0.207_4296704_.zip,0.1,_model_00006_0_0.23_2371584_.zip,0.22,base,-0.32
5,3,_model_00021_0_0.207_4296704_.zip,0.12,_model_00011_0_0.214_3108864_.zip,0.0,base,-0.12
5,4,_model_00021_0_0.207_4296704_.zip,0.21,_model_00016_0_0.231_3518464_.zip,0.01,base,-0.22
5,5,_model_00021_0_0.207_4296704_.zip,-0.16,_model_00021_0_0.207_4296704_.zip,0.08,base,0.08
5,6,_model_00021_0_0.207_4296704_.zip,0.08,_model_00026_0_0.208_6344704_.zip,0.17,base,-0.25
5,7,_model_00021_0_0.207_4296704_.zip,-0.01,_model_00031_0_0.265_7163904_.zip,-0.04,base,0.05
5,8,_model_00021_0_0.207_4296704_.zip,0.09,_model_00036_0_0.209_7983104_.zip,0.09,base,-0.18
5,9,_model_00021_0_0.207_4296704_.zip,0.11,_model_00041_0_0.22_8433664_.zip,0.35,base,-0.46
5,10,_model_00021_0_0.207_4296704_.zip,0.18,_model_00046_0_0.224_8802304_.zip,0.01,base,-0.19
5,11,_model_00021_0_0.207_4296704_.zip,0.01,_model_00051_0_0.204_9621504_.zip,0.22,base,-0.23
6,0,_model_00026_0_0.208_6344704_.zip,0.26,base,-0.12,base,-0.14
6,1,_model_00026_0_0.208_6344704_.zip,0.07,_model_00001_0_0.271_77824_.zip,-0.06,base,-0.01
6,2,_model_00026_0_0.208_6344704_.zip,0.15,_model_00006_0_0.23_2371584_.zip,0.24,base,-0.39
6,3,_model_00026_0_0.208_6344704_.zip,0.16,_model_00011_0_0.214_3108864_.zip,0.14,base,-0.3
6,4,_model_00026_0_0.208_6344704_.zip,0.14,_model_00016_0_0.231_3518464_.zip,-0.01,base,-0.13
6,5,_model_00026_0_0.208_6344704_.zip,0.11,_model_00021_0_0.207_4296704_.zip,-0.07,base,-0.04
6,6,_model_00026_0_0.208_6344704_.zip,-0.11,_model_00026_0_0.208_6344704_.zip,0.02,base,0.09
6,7,_model_00026_0_0.208_6344704_.zip,0.09,_model_00031_0_0.265_7163904_.zip,0.26,base,-0.35
6,8,_model_00026_0_0.208_6344704_.zip,0.17,_model_00036_0_0.209_7983104_.zip,0.04,base,-0.21
6,9,_model_00026_0_0.208_6344704_.zip,0.03,_model_00041_0_0.22_8433664_.zip,0.29,base,-0.32
6,10,_model_00026_0_0.208_6344704_.zip,0.25,_model_00046_0_0.224_8802304_.zip,0.17,base,-0.42
6,11,_model_00026_0_0.208_6344704_.zip,0.18,_model_00051_0_0.204_9621504_.zip,0.04,base,-0.22
7,0,_model_00031_0_0.265_7163904_.zip,0.15,base,0.02,base,-0.17
7,1,_model_00031_0_0.265_7163904_.zip,0.14,_model_00001_0_0.271_77824_.zip,-0.05,base,-0.09
7,2,_model_00031_0_0.265_7163904_.zip,0.23,_model_00006_0_0.23_2371584_.zip,-0.04,base,-0.19
7,3,_model_00031_0_0.265_7163904_.zip,0.16,_model_00011_0_0.214_3108864_.zip,-0.18,base,0.02
7,4,_model_00031_0_0.265_7163904_.zip,-0.05,_model_00016_0_0.231_3518464_.zip,0.17,base,-0.12
7,5,_model_00031_0_0.265_7163904_.zip,-0.02,_model_00021_0_0.207_4296704_.zip,-0.08,base,0.1
7,6,_model_00031_0_0.265_7163904_.zip,0.05,_model_00026_0_0.208_6344704_.zip,0.17,base,-0.22
7,7,_model_00031_0_0.265_7163904_.zip,-0.14,_model_00031_0_0.265_7163904_.zip,-0.04,base,0.18
7,8,_model_00031_0_0.265_7163904_.zip,0.0,_model_00036_0_0.209_7983104_.zip,0.08,base,-0.08
7,9,_model_00031_0_0.265_7163904_.zip,0.18,_model_00041_0_0.22_8433664_.zip,0.26,base,-0.44
7,10,_model_00031_0_0.265_7163904_.zip,0.11,_model_00046_0_0.224_8802304_.zip,-0.03,base,-0.08
7,11,_model_00031_0_0.265_7163904_.zip,0.13,_model_00051_0_0.204_9621504_.zip,0.23,base,-0.36
8,0,_model_00036_0_0.209_7983104_.zip,0.42,base,-0.28,base,-0.14
8,1,_model_00036_0_0.209_7983104_.zip,0.11,_model_00001_0_0.271_77824_.zip,-0.12,base,0.01
8,2,_model_00036_0_0.209_7983104_.zip,0.16,_model_00006_0_0.23_2371584_.zip,0.08,base,-0.24
8,3,_model_00036_0_0.209_7983104_.zip,0.13,_model_00011_0_0.214_3108864_.zip,-0.03,base,-0.1
8,4,_model_00036_0_0.209_7983104_.zip,0.12,_model_00016_0_0.231_3518464_.zip,-0.05,base,-0.07
8,5,_model_00036_0_0.209_7983104_.zip,0.14,_model_00021_0_0.207_4296704_.zip,0.1,base,-0.24
8,6,_model_00036_0_0.209_7983104_.zip,0.14,_model_00026_0_0.208_6344704_.zip,0.21,base,-0.35
8,7,_model_00036_0_0.209_7983104_.zip,-0.11,_model_00031_0_0.265_7163904_.zip,0.03,base,0.08
8,8,_model_00036_0_0.209_7983104_.zip,-0.15,_model_00036_0_0.209_7983104_.zip,0.0,base,0.15
8,9,_model_00036_0_0.209_7983104_.zip,0.01,_model_00041_0_0.22_8433664_.zip,0.05,base,-0.06
8,10,_model_00036_0_0.209_7983104_.zip,-0.08,_model_00046_0_0.224_8802304_.zip,0.12,base,-0.04
