x,y,model0,score0,model1,score1,model2,score2
0,0,base,-0.08,base,0.07,base,0.01
0,1,base,-0.31,_model_00001_0_0.284_77824_.zip,0.48,base,-0.17
0,2,base,-0.24,_model_00003_0_0.201_1306624_.zip,0.58,base,-0.34
0,3,base,-0.41,_model_00005_0_0.241_10563584_.zip,0.69,base,-0.28
0,4,base,-0.2,_model_00007_0_0.202_16175104_.zip,0.56,base,-0.36
0,5,base,-0.21,_model_00009_0_0.224_17199104_.zip,0.57,base,-0.36
0,6,base,-0.49,_model_00011_0_0.204_18305024_.zip,0.85,base,-0.36
0,7,base,-0.34,_model_00013_0_0.21_34279424_.zip,0.73,base,-0.39
0,8,base,-0.5,_model_00015_0_0.219_40300544_.zip,0.76,base,-0.26
0,9,base,-0.39,_model_00017_0_0.244_48697344_.zip,0.71,base,-0.32
1,0,_model_00001_0_0.284_77824_.zip,0.34,base,-0.25,base,-0.09
1,1,_model_00001_0_0.284_77824_.zip,0.1,_model_00001_0_0.284_77824_.zip,-0.05,base,-0.05
1,2,_model_00001_0_0.284_77824_.zip,-0.22,_model_00003_0_0.201_1306624_.zip,0.38,base,-0.16
1,3,_model_00001_0_0.284_77824_.zip,-0.34,_model_00005_0_0.241_10563584_.zip,0.3,base,0.04
1,4,_model_00001_0_0.284_77824_.zip,-0.22,_model_00007_0_0.202_16175104_.zip,0.52,base,-0.3
1,5,_model_00001_0_0.284_77824_.zip,-0.35,_model_00009_0_0.224_17199104_.zip,0.46,base,-0.11
1,6,_model_00001_0_0.284_77824_.zip,-0.38,_model_00011_0_0.204_18305024_.zip,0.43,base,-0.05
1,7,_model_00001_0_0.284_77824_.zip,-0.29,_model_00013_0_0.21_34279424_.zip,0.38,base,-0.09
1,8,_model_00001_0_0.284_77824_.zip,-0.22,_model_00015_0_0.219_40300544_.zip,0.35,base,-0.13
1,9,_model_00001_0_0.284_77824_.zip,-0.39,_model_00017_0_0.244_48697344_.zip,0.34,base,0.05
2,0,_model_00003_0_0.201_1306624_.zip,0.65,base,-0.4,base,-0.25
