x,y,model0,score0,model1,score1,model2,score2
0,0,base,-0.09,base,0.16,base,-0.07
0,1,base,-0.31,_model_00001_0_0.235_77824_.zip,0.29,base,0.02
0,2,base,0.21,_model_00002_0_0.258_118784_.zip,-0.1,base,-0.11
0,3,base,0.07,_model_00003_0_0.21_323584_.zip,0.28,base,-0.35
0,4,base,0.2,_model_00004_0_0.252_446464_.zip,0.06,base,-0.26
0,5,base,-0.1,_model_00005_0_0.242_487424_.zip,0.27,base,-0.17
0,6,base,0.02,_model_00006_0_0.205_1957888_.zip,0.14,base,-0.16
0,7,base,-0.23,_model_00007_0_0.204_2162688_.zip,0.36,base,-0.13
0,8,base,0.05,_model_00008_0_0.258_2285568_.zip,0.17,base,-0.22
0,9,base,0.1,_model_00009_0_0.209_2654208_.zip,0.07,base,-0.17
0,10,base,0.0,_model_00010_0_0.256_2777088_.zip,0.27,base,-0.27
0,11,base,-0.03,_model_00011_0_0.206_2899968_.zip,-0.05,base,0.08
0,12,base,-0.04,_model_00012_0_0.325_2981888_.zip,0.18,base,-0.14
0,13,base,0.0,_model_00013_0_0.276_3063808_.zip,0.09,base,-0.09
1,0,_model_00001_0_0.235_77824_.zip,0.34,base,-0.15,base,-0.19
1,1,_model_00001_0_0.235_77824_.zip,0.03,_model_00001_0_0.235_77824_.zip,-0.17,base,0.14
1,2,_model_00001_0_0.235_77824_.zip,0.38,_model_00002_0_0.258_118784_.zip,-0.18,base,-0.2
1,3,_model_00001_0_0.235_77824_.zip,0.12,_model_00003_0_0.21_323584_.zip,0.0,base,-0.12
1,4,_model_00001_0_0.235_77824_.zip,0.2,_model_00004_0_0.252_446464_.zip,-0.08,base,-0.12
1,5,_model_00001_0_0.235_77824_.zip,0.05,_model_00005_0_0.242_487424_.zip,0.01,base,-0.06
1,6,_model_00001_0_0.235_77824_.zip,0.07,_model_00006_0_0.205_1957888_.zip,0.05,base,-0.12
1,7,_model_00001_0_0.235_77824_.zip,0.21,_model_00007_0_0.204_2162688_.zip,-0.1,base,-0.11
1,8,_model_00001_0_0.235_77824_.zip,-0.03,_model_00008_0_0.258_2285568_.zip,0.07,base,-0.04
1,9,_model_00001_0_0.235_77824_.zip,0.13,_model_00009_0_0.209_2654208_.zip,0.07,base,-0.2
1,10,_model_00001_0_0.235_77824_.zip,-0.04,_model_00010_0_0.256_2777088_.zip,-0.13,base,0.17
1,11,_model_00001_0_0.235_77824_.zip,0.06,_model_00011_0_0.206_2899968_.zip,0.01,base,-0.07
1,12,_model_00001_0_0.235_77824_.zip,-0.09,_model_00012_0_0.325_2981888_.zip,-0.07,base,0.16
