x,y,model0,score0,model1,score1,model2,score2
0,0,base,0.02,base,0.01,base,-0.03
0,1,base,-0.12,_model_00001_0_0.2_36864_.zip,0.17,base,-0.05
0,2,base,-0.21,_model_00006_0_0.24_1060864_.zip,0.62,base,-0.41
0,3,base,-0.18,_model_00011_0_0.211_1552384_.zip,0.4,base,-0.22
0,4,base,-0.38,_model_00016_0_0.206_2494464_.zip,0.62,base,-0.24
0,5,base,-0.41,_model_00021_0_0.206_3149824_.zip,0.41,base,0.0
0,6,base,-0.35,_model_00026_0_0.202_4173824_.zip,0.65,base,-0.3
0,7,base,-0.18,_model_00031_0_0.231_4993024_.zip,0.43,base,-0.25
0,8,base,-0.41,_model_00036_0_0.218_5525504_.zip,0.61,base,-0.2
0,9,base,-0.26,_model_00041_0_0.239_5976064_.zip,0.52,base,-0.26
0,10,base,-0.18,_model_00046_0_0.239_6385664_.zip,0.49,base,-0.31
0,11,base,-0.19,_model_00051_0_0.236_6754304_.zip,0.41,base,-0.22
1,0,_model_00001_0_0.2_36864_.zip,0.25,base,-0.05,base,-0.2
1,1,_model_00001_0_0.2_36864_.zip,0.06,_model_00001_0_0.2_36864_.zip,0.06,base,-0.12
1,2,_model_00001_0_0.2_36864_.zip,-0.08,_model_00006_0_0.24_1060864_.zip,0.21,base,-0.13
1,3,_model_00001_0_0.2_36864_.zip,-0.06,_model_00011_0_0.211_1552384_.zip,0.46,base,-0.4
1,4,_model_00001_0_0.2_36864_.zip,-0.2,_model_00016_0_0.206_2494464_.zip,0.39,base,-0.19
1,5,_model_00001_0_0.2_36864_.zip,-0.22,_model_00021_0_0.206_3149824_.zip,0.46,base,-0.24
1,6,_model_00001_0_0.2_36864_.zip,-0.18,_model_00026_0_0.202_4173824_.zip,0.58,base,-0.4
1,7,_model_00001_0_0.2_36864_.zip,0.12,_model_00031_0_0.231_4993024_.zip,0.41,base,-0.53
1,8,_model_00001_0_0.2_36864_.zip,-0.01,_model_00036_0_0.218_5525504_.zip,0.27,base,-0.26
1,9,_model_00001_0_0.2_36864_.zip,-0.11,_model_00041_0_0.239_5976064_.zip,0.49,base,-0.38
1,10,_model_00001_0_0.2_36864_.zip,0.06,_model_00046_0_0.239_6385664_.zip,0.44,base,-0.5
1,11,_model_00001_0_0.2_36864_.zip,-0.18,_model_00051_0_0.236_6754304_.zip,0.28,base,-0.1
2,0,_model_00006_0_0.24_1060864_.zip,0.49,base,-0.23,base,-0.26
2,1,_model_00006_0_0.24_1060864_.zip,0.46,_model_00001_0_0.2_36864_.zip,-0.15,base,-0.31
2,2,_model_00006_0_0.24_1060864_.zip,0.22,_model_00006_0_0.24_1060864_.zip,0.37,base,-0.59
2,3,_model_00006_0_0.24_1060864_.zip,0.2,_model_00011_0_0.211_1552384_.zip,0.31,base,-0.51
2,4,_model_00006_0_0.24_1060864_.zip,0.2,_model_00016_0_0.206_2494464_.zip,0.22,base,-0.42
2,5,_model_00006_0_0.24_1060864_.zip,0.32,_model_00021_0_0.206_3149824_.zip,0.09,base,-0.41
