x,y,model0,score0,model1,score1,model2,score2
0,0,base,0.058,base,-0.058,base,0.0
0,1,base,-0.05,_model_00001_0_0.2_36864_.zip,0.141,base,-0.091
0,2,base,-0.223,_model_00006_0_0.24_1060864_.zip,0.463,base,-0.24
0,3,base,-0.271,_model_00011_0_0.211_1552384_.zip,0.484,base,-0.213
0,4,base,-0.244,_model_00016_0_0.206_2494464_.zip,0.461,base,-0.217
0,5,base,-0.29,_model_00021_0_0.206_3149824_.zip,0.54,base,-0.25
0,6,base,-0.265,_model_00026_0_0.202_4173824_.zip,0.525,base,-0.26
0,7,base,-0.22,_model_00031_0_0.231_4993024_.zip,0.539,base,-0.319
0,8,base,-0.251,_model_00036_0_0.218_5525504_.zip,0.543,base,-0.292
0,9,base,-0.244,_model_00041_0_0.239_5976064_.zip,0.492,base,-0.248
0,10,base,-0.239,_model_00046_0_0.239_6385664_.zip,0.491,base,-0.252
0,11,base,-0.247,_model_00051_0_0.236_6754304_.zip,0.503,base,-0.256
1,0,_model_00001_0_0.2_36864_.zip,0.228,base,-0.065,base,-0.163
1,1,_model_00001_0_0.2_36864_.zip,0.079,_model_00001_0_0.2_36864_.zip,0.074,base,-0.153
1,2,_model_00001_0_0.2_36864_.zip,-0.091,_model_00006_0_0.24_1060864_.zip,0.381,base,-0.29
1,3,_model_00001_0_0.2_36864_.zip,-0.107,_model_00011_0_0.211_1552384_.zip,0.352,base,-0.245
1,4,_model_00001_0_0.2_36864_.zip,-0.105,_model_00016_0_0.206_2494464_.zip,0.328,base,-0.223
1,5,_model_00001_0_0.2_36864_.zip,-0.139,_model_00021_0_0.206_3149824_.zip,0.406,base,-0.267
1,6,_model_00001_0_0.2_36864_.zip,-0.138,_model_00026_0_0.202_4173824_.zip,0.449,base,-0.311
1,7,_model_00001_0_0.2_36864_.zip,-0.108,_model_00031_0_0.231_4993024_.zip,0.411,base,-0.303
1,8,_model_00001_0_0.2_36864_.zip,-0.13,_model_00036_0_0.218_5525504_.zip,0.415,base,-0.285
1,9,_model_00001_0_0.2_36864_.zip,-0.132,_model_00041_0_0.239_5976064_.zip,0.418,base,-0.286
1,10,_model_00001_0_0.2_36864_.zip,-0.038,_model_00046_0_0.239_6385664_.zip,0.336,base,-0.298
1,11,_model_00001_0_0.2_36864_.zip,-0.107,_model_00051_0_0.236_6754304_.zip,0.377,base,-0.27
2,0,_model_00006_0_0.24_1060864_.zip,0.56,base,-0.279,base,-0.281
2,1,_model_00006_0_0.24_1060864_.zip,0.406,_model_00001_0_0.2_36864_.zip,-0.112,base,-0.294
2,2,_model_00006_0_0.24_1060864_.zip,0.213,_model_00006_0_0.24_1060864_.zip,0.131,base,-0.344
2,3,_model_00006_0_0.24_1060864_.zip,0.175,_model_00011_0_0.211_1552384_.zip,0.174,base,-0.349
2,4,_model_00006_0_0.24_1060864_.zip,0.166,_model_00016_0_0.206_2494464_.zip,0.224,base,-0.39
2,5,_model_00006_0_0.24_1060864_.zip,0.148,_model_00021_0_0.206_3149824_.zip,0.243,base,-0.391
2,6,_model_00006_0_0.24_1060864_.zip,0.185,_model_00026_0_0.202_4173824_.zip,0.214,base,-0.399
2,7,_model_00006_0_0.24_1060864_.zip,0.153,_model_00031_0_0.231_4993024_.zip,0.266,base,-0.419
2,8,_model_00006_0_0.24_1060864_.zip,0.211,_model_00036_0_0.218_5525504_.zip,0.23,base,-0.441
2,9,_model_00006_0_0.24_1060864_.zip,0.127,_model_00041_0_0.239_5976064_.zip,0.238,base,-0.365
2,10,_model_00006_0_0.24_1060864_.zip,0.119,_model_00046_0_0.239_6385664_.zip,0.263,base,-0.382
2,11,_model_00006_0_0.24_1060864_.zip,0.154,_model_00051_0_0.236_6754304_.zip,0.235,base,-0.389
3,0,_model_00011_0_0.211_1552384_.zip,0.5,base,-0.189,base,-0.311
3,1,_model_00011_0_0.211_1552384_.zip,0.363,_model_00001_0_0.2_36864_.zip,-0.093,base,-0.27
3,2,_model_00011_0_0.211_1552384_.zip,0.191,_model_00006_0_0.24_1060864_.zip,0.138,base,-0.329
3,3,_model_00011_0_0.211_1552384_.zip,0.192,_model_00011_0_0.211_1552384_.zip,0.097,base,-0.289
3,4,_model_00011_0_0.211_1552384_.zip,0.191,_model_00016_0_0.206_2494464_.zip,0.148,base,-0.339
3,5,_model_00011_0_0.211_1552384_.zip,0.178,_model_00021_0_0.206_3149824_.zip,0.205,base,-0.383
3,6,_model_00011_0_0.211_1552384_.zip,0.13,_model_00026_0_0.202_4173824_.zip,0.2,base,-0.33
3,7,_model_00011_0_0.211_1552384_.zip,0.209,_model_00031_0_0.231_4993024_.zip,0.214,base,-0.423
3,8,_model_00011_0_0.211_1552384_.zip,0.192,_model_00036_0_0.218_5525504_.zip,0.187,base,-0.379
3,9,_model_00011_0_0.211_1552384_.zip,0.103,_model_00041_0_0.239_5976064_.zip,0.257,base,-0.36
3,10,_model_00011_0_0.211_1552384_.zip,0.199,_model_00046_0_0.239_6385664_.zip,0.169,base,-0.368
3,11,_model_00011_0_0.211_1552384_.zip,0.132,_model_00051_0_0.236_6754304_.zip,0.259,base,-0.391
4,0,_model_00016_0_0.206_2494464_.zip,0.509,base,-0.224,base,-0.285
4,1,_model_00016_0_0.206_2494464_.zip,0.347,_model_00001_0_0.2_36864_.zip,-0.151,base,-0.196
4,2,_model_00016_0_0.206_2494464_.zip,0.226,_model_00006_0_0.24_1060864_.zip,0.119,base,-0.345
4,3,_model_00016_0_0.206_2494464_.zip,0.213,_model_00011_0_0.211_1552384_.zip,0.114,base,-0.327
4,4,_model_00016_0_0.206_2494464_.zip,0.183,_model_00016_0_0.206_2494464_.zip,0.11,base,-0.293
4,5,_model_00016_0_0.206_2494464_.zip,0.17,_model_00021_0_0.206_3149824_.zip,0.163,base,-0.333
4,6,_model_00016_0_0.206_2494464_.zip,0.163,_model_00026_0_0.202_4173824_.zip,0.179,base,-0.342
4,7,_model_00016_0_0.206_2494464_.zip,0.242,_model_00031_0_0.231_4993024_.zip,0.199,base,-0.441
4,8,_model_00016_0_0.206_2494464_.zip,0.168,_model_00036_0_0.218_5525504_.zip,0.185,base,-0.353
4,9,_model_00016_0_0.206_2494464_.zip,0.167,_model_00041_0_0.239_5976064_.zip,0.168,base,-0.335
4,10,_model_00016_0_0.206_2494464_.zip,0.158,_model_00046_0_0.239_6385664_.zip,0.205,base,-0.363
4,11,_model_00016_0_0.206_2494464_.zip,0.203,_model_00051_0_0.236_6754304_.zip,0.222,base,-0.425
5,0,_model_00021_0_0.206_3149824_.zip,0.502,base,-0.275,base,-0.227
5,1,_model_00021_0_0.206_3149824_.zip,0.44,_model_00001_0_0.2_36864_.zip,-0.149,base,-0.291
5,2,_model_00021_0_0.206_3149824_.zip,0.277,_model_00006_0_0.24_1060864_.zip,0.085,base,-0.362
5,3,_model_00021_0_0.206_3149824_.zip,0.221,_model_00011_0_0.211_1552384_.zip,0.152,base,-0.373
5,4,_model_00021_0_0.206_3149824_.zip,0.222,_model_00016_0_0.206_2494464_.zip,0.08,base,-0.302
5,5,_model_00021_0_0.206_3149824_.zip,0.169,_model_00021_0_0.206_3149824_.zip,0.116,base,-0.285
5,6,_model_00021_0_0.206_3149824_.zip,0.227,_model_00026_0_0.202_4173824_.zip,0.18,base,-0.407
5,7,_model_00021_0_0.206_3149824_.zip,0.237,_model_00031_0_0.231_4993024_.zip,0.187,base,-0.424
5,8,_model_00021_0_0.206_3149824_.zip,0.218,_model_00036_0_0.218_5525504_.zip,0.095,base,-0.313
5,9,_model_00021_0_0.206_3149824_.zip,0.228,_model_00041_0_0.239_5976064_.zip,0.152,base,-0.38
5,10,_model_00021_0_0.206_3149824_.zip,0.268,_model_00046_0_0.239_6385664_.zip,0.112,base,-0.38
5,11,_model_00021_0_0.206_3149824_.zip,0.208,_model_00051_0_0.236_6754304_.zip,0.13,base,-0.338
6,0,_model_00026_0_0.202_4173824_.zip,0.553,base,-0.28,base,-0.273
6,1,_model_00026_0_0.202_4173824_.zip,0.401,_model_00001_0_0.2_36864_.zip,-0.128,base,-0.273
6,2,_model_00026_0_0.202_4173824_.zip,0.297,_model_00006_0_0.24_1060864_.zip,0.106,base,-0.403
6,3,_model_00026_0_0.202_4173824_.zip,0.292,_model_00011_0_0.211_1552384_.zip,0.084,base,-0.376
6,4,_model_00026_0_0.202_4173824_.zip,0.295,_model_00016_0_0.206_2494464_.zip,0.106,base,-0.401
6,5,_model_00026_0_0.202_4173824_.zip,0.217,_model_00021_0_0.206_3149824_.zip,0.148,base,-0.365
6,6,_model_00026_0_0.202_4173824_.zip,0.25,_model_00026_0_0.202_4173824_.zip,0.128,base,-0.378
6,7,_model_00026_0_0.202_4173824_.zip,0.24,_model_00031_0_0.231_4993024_.zip,0.155,base,-0.395
6,8,_model_00026_0_0.202_4173824_.zip,0.222,_model_00036_0_0.218_5525504_.zip,0.19,base,-0.412
6,9,_model_00026_0_0.202_4173824_.zip,0.235,_model_00041_0_0.239_5976064_.zip,0.202,base,-0.437
6,10,_model_00026_0_0.202_4173824_.zip,0.221,_model_00046_0_0.239_6385664_.zip,0.151,base,-0.372
6,11,_model_00026_0_0.202_4173824_.zip,0.19,_model_00051_0_0.236_6754304_.zip,0.161,base,-0.351
7,0,_model_00031_0_0.231_4993024_.zip,0.561,base,-0.245,base,-0.316
7,1,_model_00031_0_0.231_4993024_.zip,0.387,_model_00001_0_0.2_36864_.zip,-0.134,base,-0.253
7,2,_model_00031_0_0.231_4993024_.zip,0.258,_model_00006_0_0.24_1060864_.zip,0.166,base,-0.424
7,3,_model_00031_0_0.231_4993024_.zip,0.219,_model_00011_0_0.211_1552384_.zip,0.107,base,-0.326
7,4,_model_00031_0_0.231_4993024_.zip,0.211,_model_00016_0_0.206_2494464_.zip,0.175,base,-0.386
7,5,_model_00031_0_0.231_4993024_.zip,0.226,_model_00021_0_0.206_3149824_.zip,0.132,base,-0.358
7,6,_model_00031_0_0.231_4993024_.zip,0.304,_model_00026_0_0.202_4173824_.zip,0.145,base,-0.449
7,7,_model_00031_0_0.231_4993024_.zip,0.226,_model_00031_0_0.231_4993024_.zip,0.222,base,-0.448
7,8,_model_00031_0_0.231_4993024_.zip,0.175,_model_00036_0_0.218_5525504_.zip,0.232,base,-0.407
7,9,_model_00031_0_0.231_4993024_.zip,0.23,_model_00041_0_0.239_5976064_.zip,0.166,base,-0.396
7,10,_model_00031_0_0.231_4993024_.zip,0.241,_model_00046_0_0.239_6385664_.zip,0.187,base,-0.428
7,11,_model_00031_0_0.231_4993024_.zip,0.145,_model_00051_0_0.236_6754304_.zip,0.252,base,-0.397
8,0,_model_00036_0_0.218_5525504_.zip,0.536,base,-0.324,base,-0.212
8,1,_model_00036_0_0.218_5525504_.zip,0.379,_model_00001_0_0.2_36864_.zip,-0.129,base,-0.25
8,2,_model_00036_0_0.218_5525504_.zip,0.25,_model_00006_0_0.24_1060864_.zip,0.074,base,-0.324
8,3,_model_00036_0_0.218_5525504_.zip,0.299,_model_00011_0_0.211_1552384_.zip,0.12,base,-0.419
8,4,_model_00036_0_0.218_5525504_.zip,0.228,_model_00016_0_0.206_2494464_.zip,0.104,base,-0.332
8,5,_model_00036_0_0.218_5525504_.zip,0.146,_model_00021_0_0.206_3149824_.zip,0.174,base,-0.32
