x,y,model0,score0,model1,score1,model2,score2
0,0,base,-0.165,base,0.05,base,0.115
0,1,base,-0.08,_model_00001_0_0.271_77824_.zip,0.22,base,-0.14
0,2,base,-0.03,_model_00005_0_0.259_2945024_.zip,0.425,base,-0.395
0,3,base,-0.135,_model_00009_0_0.225_8638464_.zip,0.325,base,-0.19
0,4,base,-0.27,_model_00013_0_0.203_10072064_.zip,0.59,base,-0.32
0,5,base,-0.14,_model_00017_0_0.284_12488704_.zip,0.375,base,-0.235
1,0,_model_00001_0_0.271_77824_.zip,0.275,base,-0.215,base,-0.06
1,1,_model_00001_0_0.271_77824_.zip,0.06,_model_00001_0_0.271_77824_.zip,-0.075,base,0.015
1,2,_model_00001_0_0.271_77824_.zip,0.005,_model_00005_0_0.259_2945024_.zip,0.065,base,-0.07
1,3,_model_00001_0_0.271_77824_.zip,-0.14,_model_00009_0_0.225_8638464_.zip,0.145,base,-0.005
1,4,_model_00001_0_0.271_77824_.zip,-0.035,_model_00013_0_0.203_10072064_.zip,0.22,base,-0.185
1,5,_model_00001_0_0.271_77824_.zip,0.035,_model_00017_0_0.284_12488704_.zip,0.19,base,-0.225
2,0,_model_00005_0_0.259_2945024_.zip,0.29,base,-0.18,base,-0.11
2,1,_model_00005_0_0.259_2945024_.zip,0.055,_model_00001_0_0.271_77824_.zip,-0.075,base,0.02
2,2,_model_00005_0_0.259_2945024_.zip,0.105,_model_00005_0_0.259_2945024_.zip,-0.095,base,-0.01
2,3,_model_00005_0_0.259_2945024_.zip,0.085,_model_00009_0_0.225_8638464_.zip,-0.04,base,-0.045
2,4,_model_00005_0_0.259_2945024_.zip,0.185,_model_00013_0_0.203_10072064_.zip,0.045,base,-0.23
2,5,_model_00005_0_0.259_2945024_.zip,0.08,_model_00017_0_0.284_12488704_.zip,0.125,base,-0.205
3,0,_model_00009_0_0.225_8638464_.zip,0.445,base,-0.2,base,-0.245
3,1,_model_00009_0_0.225_8638464_.zip,0.09,_model_00001_0_0.271_77824_.zip,-0.155,base,0.065
3,2,_model_00009_0_0.225_8638464_.zip,0.085,_model_00005_0_0.259_2945024_.zip,0.075,base,-0.16
3,3,_model_00009_0_0.225_8638464_.zip,0.095,_model_00009_0_0.225_8638464_.zip,0.14,base,-0.235
3,4,_model_00009_0_0.225_8638464_.zip,0.115,_model_00013_0_0.203_10072064_.zip,0.125,base,-0.24
3,5,_model_00009_0_0.225_8638464_.zip,0.125,_model_00017_0_0.284_12488704_.zip,-0.025,base,-0.1
4,0,_model_00013_0_0.203_10072064_.zip,0.415,base,-0.19,base,-0.225
4,1,_model_00013_0_0.203_10072064_.zip,0.34,_model_00001_0_0.271_77824_.zip,-0.065,base,-0.275
4,2,_model_00013_0_0.203_10072064_.zip,0.055,_model_00005_0_0.259_2945024_.zip,-0.03,base,-0.025
4,3,_model_00013_0_0.203_10072064_.zip,0.11,_model_00009_0_0.225_8638464_.zip,0.06,base,-0.17
4,4,_model_00013_0_0.203_10072064_.zip,0.135,_model_00013_0_0.203_10072064_.zip,0.125,base,-0.26
4,5,_model_00013_0_0.203_10072064_.zip,0.115,_model_00017_0_0.284_12488704_.zip,0.19,base,-0.305
5,0,_model_00017_0_0.284_12488704_.zip,0.32,base,-0.2,base,-0.12
5,1,_model_00017_0_0.284_12488704_.zip,0.2,_model_00001_0_0.271_77824_.zip,-0.165,base,-0.035
5,2,_model_00017_0_0.284_12488704_.zip,0.17,_model_00005_0_0.259_2945024_.zip,0.09,base,-0.26
5,3,_model_00017_0_0.284_12488704_.zip,0.095,_model_00009_0_0.225_8638464_.zip,0.195,base,-0.29
5,4,_model_00017_0_0.284_12488704_.zip,0.16,_model_00013_0_0.203_10072064_.zip,0.2,base,-0.36
5,5,_model_00017_0_0.284_12488704_.zip,0.155,_model_00017_0_0.284_12488704_.zip,0.06,base,-0.215
