x,y,model0,score0,model1,score1,model2,score2
0,0,base,-0.31,base,0.18,base,0.13
0,1,base,-0.02,_model_00001_0_0.59_36864_.zip,0.38,base,-0.36
0,2,base,-0.42,_model_00006_0_0.248_405504_.zip,0.84,base,-0.42
0,3,base,-0.37,_model_00011_0_0.261_4255744_.zip,0.84,base,-0.47
0,4,base,-0.52,_model_00016_0_0.201_16912384_.zip,0.95,base,-0.43
0,5,base,-0.32,_model_00021_0_0.203_18345984_.zip,0.81,base,-0.49
0,6,base,-0.35,_model_00026_0_0.214_21622784_.zip,0.89,base,-0.54
0,7,base,-0.56,_model_00031_0_0.202_27439104_.zip,0.85,base,-0.29
0,8,base,-0.4,_model_00036_0_0.216_28790784_.zip,0.94,base,-0.54
0,9,base,-0.5,_model_00041_0_0.22_29814784_.zip,0.97,base,-0.47
0,10,base,-0.4,_model_00046_0_0.33_34893824_.zip,0.89,base,-0.49
1,0,_model_00001_0_0.59_36864_.zip,0.58,base,-0.27,base,-0.31
1,1,_model_00001_0_0.59_36864_.zip,0.11,_model_00001_0_0.59_36864_.zip,0.08,base,-0.19
1,2,_model_00001_0_0.59_36864_.zip,-0.25,_model_00006_0_0.248_405504_.zip,0.51,base,-0.26
1,3,_model_00001_0_0.59_36864_.zip,-0.16,_model_00011_0_0.261_4255744_.zip,0.55,base,-0.39
1,4,_model_00001_0_0.59_36864_.zip,-0.38,_model_00016_0_0.201_16912384_.zip,0.62,base,-0.24
1,5,_model_00001_0_0.59_36864_.zip,-0.24,_model_00021_0_0.203_18345984_.zip,0.54,base,-0.3
1,6,_model_00001_0_0.59_36864_.zip,-0.4,_model_00026_0_0.214_21622784_.zip,0.75,base,-0.35
1,7,_model_00001_0_0.59_36864_.zip,-0.14,_model_00031_0_0.202_27439104_.zip,0.6,base,-0.46
1,8,_model_00001_0_0.59_36864_.zip,-0.31,_model_00036_0_0.216_28790784_.zip,0.7,base,-0.39
1,9,_model_00001_0_0.59_36864_.zip,0.03,_model_00041_0_0.22_29814784_.zip,0.49,base,-0.52
1,10,_model_00001_0_0.59_36864_.zip,-0.25,_model_00046_0_0.33_34893824_.zip,0.59,base,-0.34
2,0,_model_00006_0_0.248_405504_.zip,0.82,base,-0.52,base,-0.3
2,1,_model_00006_0_0.248_405504_.zip,0.74,_model_00001_0_0.59_36864_.zip,-0.38,base,-0.36
2,2,_model_00006_0_0.248_405504_.zip,-0.15,_model_00006_0_0.248_405504_.zip,0.03,base,0.12
2,3,_model_00006_0_0.248_405504_.zip,-0.08,_model_00011_0_0.261_4255744_.zip,-0.06,base,0.14
2,4,_model_00006_0_0.248_405504_.zip,0.24,_model_00016_0_0.201_16912384_.zip,-0.03,base,-0.21
2,5,_model_00006_0_0.248_405504_.zip,0.14,_model_00021_0_0.203_18345984_.zip,-0.01,base,-0.13
2,6,_model_00006_0_0.248_405504_.zip,-0.25,_model_00026_0_0.214_21622784_.zip,0.07,base,0.18
2,7,_model_00006_0_0.248_405504_.zip,-0.04,_model_00031_0_0.202_27439104_.zip,0.11,base,-0.07
2,8,_model_00006_0_0.248_405504_.zip,-0.07,_model_00036_0_0.216_28790784_.zip,0.11,base,-0.04
2,9,_model_00006_0_0.248_405504_.zip,0.28,_model_00041_0_0.22_29814784_.zip,0.05,base,-0.33
2,10,_model_00006_0_0.248_405504_.zip,-0.09,_model_00046_0_0.33_34893824_.zip,0.2,base,-0.11
3,0,_model_00011_0_0.261_4255744_.zip,0.9,base,-0.59,base,-0.31
