x,y,model0,score0,model1,score1,model2,score2
0,0,base,0.04,base,-0.01,base,-0.03
0,1,base,-0.18,_model_00001_0_0.349_36864_.zip,0.25,base,-0.07
0,2,base,-0.28,_model_00002_0_0.256_77824_.zip,0.5,base,-0.22
0,3,base,-0.12,_model_00003_0_0.256_610304_.zip,0.28,base,-0.16
0,4,base,-0.14,_model_00004_0_0.239_692224_.zip,0.39,base,-0.25
0,5,base,-0.22,_model_00005_0_0.289_774144_.zip,0.63,base,-0.41
0,6,base,-0.07,_model_00006_0_0.244_937984_.zip,0.46,base,-0.39
0,7,base,-0.17,_model_00007_0_0.201_1183744_.zip,0.35,base,-0.18
0,8,base,-0.18,_model_00008_0_0.226_1388544_.zip,0.29,base,-0.11
0,9,base,-0.11,_model_00009_0_0.223_1429504_.zip,0.3,base,-0.19
0,10,base,-0.27,_model_00010_0_0.201_2207744_.zip,0.34,base,-0.07
1,0,_model_00001_0_0.349_36864_.zip,0.47,base,-0.17,base,-0.3
1,1,_model_00001_0_0.349_36864_.zip,0.08,_model_00001_0_0.349_36864_.zip,0.14,base,-0.22
1,2,_model_00001_0_0.349_36864_.zip,0.41,_model_00002_0_0.256_77824_.zip,0.08,base,-0.49
1,3,_model_00001_0_0.349_36864_.zip,0.25,_model_00003_0_0.256_610304_.zip,0.14,base,-0.39
1,4,_model_00001_0_0.349_36864_.zip,0.12,_model_00004_0_0.239_692224_.zip,-0.02,base,-0.1
1,5,_model_00001_0_0.349_36864_.zip,0.02,_model_00005_0_0.289_774144_.zip,0.19,base,-0.21
1,6,_model_00001_0_0.349_36864_.zip,0.08,_model_00006_0_0.244_937984_.zip,0.18,base,-0.26
1,7,_model_00001_0_0.349_36864_.zip,0.09,_model_00007_0_0.201_1183744_.zip,0.2,base,-0.29
1,8,_model_00001_0_0.349_36864_.zip,0.07,_model_00008_0_0.226_1388544_.zip,0.16,base,-0.23
1,9,_model_00001_0_0.349_36864_.zip,0.14,_model_00009_0_0.223_1429504_.zip,0.31,base,-0.45
1,10,_model_00001_0_0.349_36864_.zip,0.0,_model_00010_0_0.201_2207744_.zip,0.26,base,-0.26
2,0,_model_00002_0_0.256_77824_.zip,0.4,base,-0.21,base,-0.19
2,1,_model_00002_0_0.256_77824_.zip,0.31,_model_00001_0_0.349_36864_.zip,-0.06,base,-0.25
2,2,_model_00002_0_0.256_77824_.zip,0.28,_model_00002_0_0.256_77824_.zip,0.11,base,-0.39
2,3,_model_00002_0_0.256_77824_.zip,0.11,_model_00003_0_0.256_610304_.zip,0.24,base,-0.35
2,4,_model_00002_0_0.256_77824_.zip,0.16,_model_00004_0_0.239_692224_.zip,0.11,base,-0.27
2,5,_model_00002_0_0.256_77824_.zip,0.18,_model_00005_0_0.289_774144_.zip,0.27,base,-0.45
2,6,_model_00002_0_0.256_77824_.zip,0.14,_model_00006_0_0.244_937984_.zip,0.04,base,-0.18
2,7,_model_00002_0_0.256_77824_.zip,0.22,_model_00007_0_0.201_1183744_.zip,0.27,base,-0.49
2,8,_model_00002_0_0.256_77824_.zip,0.31,_model_00008_0_0.226_1388544_.zip,0.01,base,-0.32
